Step,Temperature_K,Time_s,Rate,X_i,X_active,f_norm
Step_2_rxn,1073.15,123.00000000000004,0.003476259224161487,0.9549305561725567,0.9549305561725567,0.3272768253529564
Step_2_rxn,1073.15,126.00000000000003,0.003429817834938273,0.9663663598828407,0.9663663598828407,0.3229045419730768
Step_2_rxn,1073.15,129.00000000000003,0.0033949539823204815,0.9776675298816336,,
Step_2_rxn,1073.15,132.0,0.0033698330165549324,0.9888693707529408,,
Step_2_rxn,1073.15,135.0,0.003351949312336613,1.0,,
Step_2_rxn,1123.15,2.999999999999994,0.00331465241786727,0.0,,
Step_2_rxn,1123.15,5.999999999999988,0.003304517720161511,0.010014418090210277,,
Step_2_rxn,1123.15,9.0,0.0034815827742235876,0.02028139206667826,,
Step_2_rxn,1123.15,11.999999999999995,0.003860879506539589,0.031390108953816484,0.031390108953816484,0.5550960282541683
Step_2_rxn,1123.15,14.999999999999993,0.004315897979470093,0.04376109605158967,0.04376109605158967,0.6205160825910568
Step_2_rxn,1123.15,18.0,0.0051744330883726,0.05811941305297019,0.05811941305297019,0.7439515403051151
Step_2_rxn,1123.15,21.000000000000007,0.006955326212154923,0.07647103091987016,0.07647103091987016,0.9999985622549802
Step_2_rxn,1123.15,23.999999999999993,0.009182682948372987,0.10088689688298597,0.10088689688298597,1.3202356677345983
Step_2_rxn,1123.15,26.999999999999993,0.011929034328511612,0.1328276929351027,0.1328276929351027,1.7150909696737324
Step_2_rxn,1123.15,30.0,0.014780466660640333,0.17323760902858906,0.17323760902858906,2.125054233152736
Step_2_rxn,1123.15,32.999999999999986,0.016977645985285672,0.22128577989597364,0.22128577989597364,2.440952596312466
Step_2_rxn,1123.15,36.00000000000001,0.018236569303183285,0.27456283234569767,0.27456283234569767,2.6219536693731125
Step_2_rxn,1123.15,38.99999999999999,0.018677437061374254,0.33041156948504113,0.33041156948504113,2.6853392117456756
Step_2_rxn,1123.15,42.000000000000014,0.018156716960333,0.386139494690244,0.386139494690244,2.6104729385479457
Step_2_rxn,1123.15,45.0,0.017252955659524744,0.43971226267446895,0.43971226267446895,2.480535107616226
Step_2_rxn,1123.15,48.000000000000014,0.016055921035562797,0.4901066490377131,0.4901066490377131,2.3084320507043183
Step_2_rxn,1123.15,51.00000000000001,0.014540518625204344,0.53639727647973,0.53639727647973,2.0905558238570547
Step_2_rxn,1123.15,54.00000000000002,0.013231947584283706,0.5784153969114976,0.5784153969114976,1.902416674144375
Step_2_rxn,1123.15,57.000000000000014,0.011983136613570707,0.6165643476215588,0.6165643476215588,1.7228694987640367
Step_2_rxn,1123.15,60.000000000000014,0.010952537828789521,0.6512646844095701,0.6512646844095701,1.5746956717418226
Step_2_rxn,1123.15,63.00000000000003,0.010021543719042604,0.6829972456367558,0.6829972456367558,1.4408424572674539
Step_2_rxn,1123.15,66.00000000000001,0.008971527229558952,0.711732653449217,0.711732653449217,1.2898768594220646
Step_2_rxn,1123.15,69.0,0.007705073378413103,0.736963376837364,0.736963376837364,1.1077930876940159
Step_2_rxn,1123.15,72.00000000000003,0.006819370911212875,0.758938013326705,0.758938013326705,0.9804516565706142
Step_2_rxn,1123.15,75.00000000000003,0.006069367490151981,0.7784379222752692,0.7784379222752692,0.8726202882249384
Step_2_rxn,1123.15,78.00000000000003,0.005471667672176728,0.7958988348820264,0.7958988348820264,0.7866862945625283
Step_2_rxn,1123.15,81.0,0.004989728712085386,0.8117263170308103,0.8117263170308103,0.7173957605910546
Step_2_rxn,1123.15,84.00000000000003,0.0045863993863351485,0.8262144399319017,0.8262144399319017,0.6594072876477349
Step_2_rxn,1123.15,87.00000000000004,0.004249264781731602,0.8395822841236301,0.8395822841236301,0.6109359277709283
Step_2_rxn,1123.15,90.00000000000006,0.004007230097232386,0.8520738789842284,0.8520738789842284,0.576137511545377
Step_2_rxn,1123.15,93.00000000000004,0.0038597623185133365,0.8639761793513334,0.8639761793513334,0.5549354051020767
